Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Justin Anderson,3,0,4.38434,1.4094,63,7,11,18,63,65,9.24359,4.23034,0.297229,4.42979
Justin Hagenman,1,0,4.29865,1.27072,12,0,1,1,12,11,7.96103,2.73666,0.286347,4.33114
Justin King,1,0,4.48699,1.46529,15,0,1,1,15,15,9.25246,4.87428,0.298112,4.56208
Justin Lawrence,4,0,4.39373,1.43962,66,0,8,8,66,60,8.18308,4.27738,0.302803,4.27821
Justin Martinez,5,0,3.10976,1.29747,67,17,9,26,67,84,11.293,4.73139,0.299978,3.17939
Justin Slaten,4,0,3.91814,1.30725,64,0,13,13,64,67,9.42401,3.32039,0.302449,3.82872
Justin Steele,10,17,3.4591,1.19019,29,0,0,0,166,159,8.60379,2.46878,0.293776,3.53828
Justin Sterner,2,0,4.34382,1.33553,44,0,1,1,44,41,8.47661,3.54695,0.28553,4.5563
Justin Topa,3,0,3.86441,1.31453,50,0,1,1,50,43,7.76203,3.04598,0.303305,3.80306
Justin Verlander,8,12,4.18403,1.275,24,0,0,0,138,111,7.20782,2.45247,0.289811,4.23376
Justin Wilson,3,0,4.14982,1.34469,58,0,10,10,58,60,9.26155,3.12165,0.306202,4.00179
Justin Wrobleski,2,0,4.37924,1.32404,36,0,1,1,36,32,8.03763,3.11859,0.289048,4.47486
Kade Strowd,1,0,4.38993,1.43229,26,0,1,1,26,24,8.30674,4.10949,0.298925,4.43653
Kaleb Ort,3,0,4.24346,1.3289,62,0,13,13,62,64,9.22098,3.70607,0.288586,4.40886
Keaton Winn,2,0,3.94155,1.23872,42,0,1,1,42,39,8.31864,2.60929,0.295104,3.74384
Keegan Akin,3,0,3.42322,1.14513,70,2,16,18,70,79,10.2067,2.47604,0.292213,3.44505
Keegan Thompson,4,0,4.05668,1.32006,66,0,13,13,66,68,9.206,4.01936,0.285122,4.22019
Keider Montero,2,1,4.32865,1.3165,20,0,1,1,34,29,7.68917,3.08371,0.287394,4.42895
Kelvin Cáceres,0,0,4.70819,1.51334,10,0,1,1,10,10,9.44202,5.44196,0.294602,4.8641
Kendall Graveman,4,0,3.8595,1.36126,53,0,7,7,53,52,8.78038,4.02203,0.294711,4.13518
Kenley Jansen,3,0,3.82841,1.23121,60,26,4,30,60,68,10.1927,3.41475,0.289565,3.85331
Kenta Maeda,4,3,4.48876,1.27499,54,0,1,1,89,80,8.13873,2.58703,0.289931,4.33765
Kevin Gausman,13,18,3.78718,1.22896,32,0,0,0,192,189,8.85422,2.51474,0.294977,3.75347
Kevin Ginkel,5,0,3.30589,1.19658,61,3,14,17,61,65,9.58563,2.84652,0.296784,3.3477
Kevin Herget,2,0,4.1414,1.26367,34,0,1,1,34,29,7.71393,2.57134,0.287845,4.21184
Kevin Kelly,3,0,3.63641,1.18231,53,0,5,5,53,47,8.03265,2.21506,0.294965,3.67715
Keynan Middleton,1,0,3.9726,1.32021,18,0,0,0,18,19,9.35752,3.74009,0.292798,4.11131
Kirby Yates,5,0,3.58928,1.24555,60,9,11,20,60,73,10.9162,4.34049,0.285507,3.78466
Kodai Senga,10,14,3.65136,1.2641,34,0,1,1,160,173,9.722,3.83057,0.283125,3.87054
Kody Funderburk,2,0,3.8454,1.3237,48,0,1,1,48,48,9.04685,3.66431,0.29922,3.83664
Kolby Allard,1,0,4.5068,1.32985,19,0,1,1,19,16,7.71495,2.74009,0.293899,4.48907
Kris Bubic,7,8,4.06651,1.32497,42,0,1,1,115,109,8.56912,3.20058,0.300468,3.96429
Kumar Rocker,6,11,3.8362,1.21362,33,0,1,1,119,122,9.24572,2.65652,0.292405,3.73901
Kutter Crawford,8,7,4.35246,1.23218,53,0,1,1,134,129,8.66512,2.51331,0.290302,4.23024
Kyle Amendt,2,0,3.82117,1.37405,21,0,1,1,21,24,10.2149,4.60261,0.293854,3.98231
Kyle Bradish,1,1,3.29004,1.15743,12,0,1,1,19,20,9.50286,2.66349,0.29204,3.36132
Kyle Finnegan,4,0,3.96785,1.3037,64,22,6,28,64,61,8.60004,3.34695,0.292392,4.07689
Kyle Freeland,7,12,5.04391,1.42002,28,0,0,0,152,109,6.49314,2.47505,0.307507,4.80614
Kyle Gibson,7,11,4.36012,1.38503,23,0,0,0,130,110,7.58106,3.31186,0.299052,4.3864
Kyle Harrison,7,12,4.10453,1.28338,24,0,0,0,126,128,9.15117,3.34564,0.289526,4.10432
Kyle Hart,6,6,4.64041,1.38833,39,0,1,1,107,77,6.43279,3.15163,0.28644,4.97315
Kyle Hendricks,6,10,5.12591,1.42093,24,0,0,0,127,89,6.33318,2.65516,0.300286,5.02539
Kyle Leahy,3,0,4.27144,1.37423,56,0,10,10,56,44,7.00483,3.26813,0.294598,4.37726
Kyle Nelson,2,0,4.01069,1.32281,35,0,1,1,35,34,8.62598,3.41547,0.294444,4.15673
Kyle Nicolas,2,0,4.29932,1.41659,44,0,1,1,44,44,8.96184,4.39438,0.296886,4.36309
Kyle Tyler,1,0,4.56561,1.40863,28,0,1,1,28,22,7.18827,3.48739,0.295179,4.5742
Kyle Wright,6,5,4.24177,1.33102,35,0,1,1,94,78,7.47264,3.02583,0.299166,4.17662
Lake Bachar,3,0,4.50981,1.3914,58,1,10,11,58,53,8.18773,3.55684,0.294839,4.55772
Lance Lynn,6,10,4.40881,1.32806,21,0,0,0,118,109,8.31389,3.07617,0.293343,4.46379
Lance McCullers Jr.,5,5,3.68976,1.29789,39,0,1,1,92,90,8.83826,3.56985,0.293527,3.88596
Landen Roupp,4,2,3.77751,1.30559,55,0,4,4,75,74,8.81308,3.59657,0.293241,3.8179
