Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Will Brennan,CLE,OF,FA,27,,-25.63124491,-31.54537344,,53,231,214,59,4,24,24,13,2,5,0.27494
Christian Vazquez,MIN,C,FA,34,,-22.27408226,-27.44266954,,76,301,279,65,5,29,29,17,2,2,0.234785
Vaughn Grissom,BOS,2B,FA,24,,-40.55005082,-49.77727027,,11,49,44,11,1,6,5,4,1,1,0.262566
Kris Bryant,COL,UT,FA,33,,-10.79738028,-13.41728121,,110,476,422,103,13,53,53,42,9,1,0.245028
Mitch Haniger,SEA,OF,FA,34,,-17.3421442,-21.4154723,,94,406,365,80,14,45,46,34,4,1,0.219353
Dane Myers,MIA,"OF,UT",FA,28,,-14.91252925,-18.44630108,,86,371,336,83,9,43,43,25,6,8,0.248142
Wade Meckler,SF,OF,FA,24,,-42.61654132,-52.30267624,,3,14,13,3,0,2,1,1,0,0,0.266007
Michael Massey,KC,2B,FA,26,,-1.73937096,-2.347716233,,120,518,478,123,17,60,65,28,6,4,0.257093
Spencer Torkelson,DET,1B,FA,25,,-28.49819026,-35.04899512,,47,203,178,40,8,25,25,21,2,1,0.224403
Dairon Blanco,KC,OF,FA,31,,-18.00611641,-22.22689601,,49,210,189,49,4,31,23,15,4,27,0.258784
Miguel Amaya,CHC,C,FA,25,,-16.48969149,-20.37371132,,83,326,289,69,9,34,38,26,7,1,0.240163
Austin Slater,CHW,OF,FA,32,,-28.57461031,-35.14238613,,52,224,195,46,5,26,20,24,3,5,0.234053
Randal Grichuk,ARI,OF,FA,33,,-22.63500658,-27.88374606,,62,266,245,62,8,31,33,16,3,1,0.251827
Davis Schneider,TOR,"2B,OF",FA,26,,-30.62186722,-37.64428723,,45,196,169,37,7,23,22,23,2,2,0.218594
Andy Pages,LAD,OF,FA,24,,-27.70989333,-34.0856373,,41,175,157,39,7,23,24,14,3,1,0.246749
Austin Hays,CIN,OF,FA,29,,-1.765850544,-2.380076265,,118,511,468,120,17,61,61,31,7,4,0.256266
Miguel Rojas,LAD,SS,FA,36,,-36.49872415,-44.82624601,,26,112,103,26,2,12,11,7,1,2,0.255825
Travis d'Arnaud,LAA,C,FA,36,,-19.53320911,-24.09311752,,65,257,234,54,10,29,32,17,4,0,0.232504
Austin Martin,MIN,"OF,UT",FA,25,,-35.32393422,-43.39056484,,28,119,102,25,1,14,11,13,3,4,0.2432
Danny Jansen,TB,C,FA,29,,-11.54941247,-14.3363208,,91,359,314,71,15,43,44,36,6,0,0.224942
Rowdy Tellez,SEA,1B,FA,29,,-42.28447089,-51.89686134,,5,21,19,4,1,2,3,2,0,0,0.235476
Taylor Walls,TB,SS,FA,28,,-29.09976266,-35.7841616,,57,245,213,44,4,28,21,29,1,12,0.207523
Orelvis Martinez,TOR,2B,FA,23,,-28.31478104,-34.82485533,,52,224,203,44,9,25,29,16,3,1,0.215958
Luis Matos,SF,OF,FA,23,,-26.22290559,-32.26842706,,55,238,218,54,6,26,27,14,3,3,0.245827
Sam Hilliard,COL,OF,FA,31,,-22.26416824,-27.43055388,,57,245,218,51,10,31,30,23,1,6,0.233736
Jerar Encarnacion,SF,UT,FA,27,,-14.42469602,-17.85013239,,84,364,328,79,14,40,48,30,2,3,0.24012
Amed Rosario,WSH,"2B,OF",FA,29,,-28.36736759,-34.88912003,,49,210,198,53,3,23,21,9,2,6,0.265697
Kevin Pillar,TEX,OF,FA,36,,-41.15460835,-50.51608479,,6,28,26,6,1,3,3,1,1,1,0.2284
Dominic Fletcher,CHW,OF,FA,27,,-39.21872574,-48.15029143,,18,77,70,17,1,8,7,5,1,0,0.236392
