Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Yainer Diaz,143,574,539,151,21,68,81,25,4,1,0.279809
Luis Robert Jr.,151,651,600,148,27,82,84,39,9,26,0.246275
JJ Bleday,152,658,573,130,24,79,77,77,4,5,0.227723
Lars Nootbaar,125,539,460,115,19,69,63,71,2,9,0.249277
Cody Bellinger,139,602,543,141,23,79,85,47,4,12,0.259534
Bryson Stott,139,602,541,139,13,71,65,51,4,26,0.257686
Byron Buxton,118,511,461,112,25,72,74,37,10,8,0.242244
Pete Crow-Armstrong,130,560,512,126,16,72,68,33,8,30,0.246324
CJ Abrams,139,602,546,138,19,82,67,36,13,33,0.253446
Brenton Doyle,154,665,608,151,23,85,80,43,5,28,0.248742
Pete Alonso,154,665,577,139,35,88,102,69,13,4,0.240813
Jake Rogers,97,384,348,74,14,44,45,29,4,2,0.211929
Bo Naylor,110,435,381,84,16,52,52,47,3,7,0.219784
Alec Bohm,143,616,562,157,17,72,81,42,6,4,0.279865
Cedric Mullins,130,560,504,122,17,68,67,45,5,28,0.242271
Zack Gelof,146,630,571,131,22,73,73,50,4,25,0.229471
Tommy Edman,141,609,555,140,15,78,69,42,6,25,0.252573
Brendan Donovan,138,595,524,146,13,73,63,54,12,6,0.279006
Sean Murphy,92,365,319,75,14,42,47,35,8,0,0.233988
Daulton Varsho,138,595,534,119,23,74,75,52,5,13,0.223706
Teoscar Hernández,151,651,594,155,30,83,102,46,7,9,0.261816
Randy Arozarena,152,658,569,137,22,82,77,68,16,22,0.240969
Josh Lowe,126,546,494,127,18,66,69,46,2,26,0.256352
Max Muncy,126,546,454,97,25,74,74,80,8,3,0.214
Ha-Seong Kim,100,434,377,93,10,51,44,48,3,18,0.246041
Kyle Schwarber,152,658,549,124,38,99,93,98,6,5,0.225548
Geraldo Perdomo,131,567,486,121,8,74,53,62,6,16,0.25002
Shea Langeliers,128,506,458,106,26,61,74,39,5,4,0.231178
Matt Wallner,120,518,448,106,22,66,67,52,14,5,0.236299
Taylor Ward,149,644,567,142,23,79,78,63,8,6,0.249987
Brandon Marsh,125,539,475,117,15,64,63,55,4,16,0.247237
Brayan Rocchio,130,560,496,120,10,67,56,50,8,13,0.242784
