Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG,HittingTeamId
Wilmer Flores,SF,1B,FA,33,,,,,,,,,,,,,,,
Miguel Vargas,CHW,"3B,OF",FA,25,,,,,,,,,,,,,,,
Isiah Kiner-Falefa,PIT,"2B,3B,SS",FA,29,,,,,,,,,,,,,,,
Jose Siri,NYM,OF,FA,29,,,,,,,,,,,,,,,
Zach McKinstry,DET,"3B,SS,OF",FA,29,,,,,,,,,,,,,,,
Luis Campusano,SD,C,FA,26,,,,,,,,,,,,,,,
Drew Waters,KC,OF,FA,26,,,,,,,,,,,,,,,
Will Brennan,CLE,OF,FA,27,,,,,,,,,,,,,,,
Christian Vazquez,MIN,C,FA,34,,,,,,,,,,,,,,,
Eddie Rosario,LAD,OF,FA,33,,,,,,,,,,,,,,,
Vaughn Grissom,BOS,2B,FA,24,,,,,,,,,,,,,,,
Kris Bryant,COL,UT,FA,33,,,,,,,,,,,,,,,
Mitch Haniger,SEA,OF,FA,34,,,,,,,,,,,,,,,
Dane Myers,MIA,"OF,UT",FA,28,,,,,,,,,,,,,,,
Wade Meckler,SF,OF,FA,24,,,,,,,,,,,,,,,
Michael Massey,KC,2B,FA,26,,,,,,,,,,,,,,,
Spencer Torkelson,DET,1B,FA,25,,,,,,,,,,,,,,,
Dairon Blanco,KC,OF,FA,31,,,,,,,,,,,,,,,
Miguel Amaya,CHC,C,FA,25,,,,,,,,,,,,,,,
Austin Slater,CHW,OF,FA,32,,,,,,,,,,,,,,,
Randal Grichuk,ARI,OF,FA,33,,,,,,,,,,,,,,,
Davis Schneider,TOR,"2B,OF",FA,26,,,,,,,,,,,,,,,
Andy Pages,LAD,OF,FA,24,,,,,,,,,,,,,,,
Austin Hays,CIN,OF,FA,29,,,,,,,,,,,,,,,
Miguel Rojas,LAD,SS,FA,36,,,,,,,,,,,,,,,
Travis d'Arnaud,LAA,C,FA,36,,,,,,,,,,,,,,,
Austin Martin,MIN,"OF,UT",FA,25,,,,,,,,,,,,,,,
Danny Jansen,TB,C,FA,29,,,,,,,,,,,,,,,
Rowdy Tellez,SEA,1B,FA,29,,,,,,,,,,,,,,,
Jake Cave,(N/A),OF,FA,32,,,,,,,,,,,,,,,
Taylor Walls,TB,SS,FA,28,,,,,,,,,,,,,,,
Orelvis Martinez,TOR,2B,FA,23,,,,,,,,,,,,,,,
Luis Matos,SF,OF,FA,23,,,,,,,,,,,,,,,
Sam Hilliard,COL,OF,FA,31,,,,,,,,,,,,,,,
Jerar Encarnacion,SF,UT,FA,27,,,,,,,,,,,,,,,
Amed Rosario,WSH,"2B,OF",FA,29,,,,,,,,,,,,,,,
Kevin Pillar,TEX,OF,FA,36,,,,,,,,,,,,,,,
Colson Montgomery,CHW,SS,OCNM,23,,,,,,,,,,,,,,,
Gary Sanchez,BAL,C,FA,32,,,,,,,,,,,,,,,
Dominic Fletcher,CHW,OF,FA,27,,,,,,,,,,,,,,,
Will Benson,CIN,OF,FA,26,,,,,,,,,,,,,,,
Manuel Margot,MIL,OF,FA,30,,,,,,,,,,,,,,,
Jose Trevino,CIN,C,FA,32,,,,,,,,,,,,,,,
Chris Taylor,LAD,"2B,3B,OF",FA,34,,,,,,,,,,,,,,,
Justin Turner,CHC,1B,FA,40,,,,,,,,,,,,,,,
Donovan Solano,SEA,"1B,3B",FA,37,,,,,,,,,,,,,,,
Gio Urshela,ATH,3B,FA,33,,,,,,,,,,,,,,,
Jarred Kelenic,ATL,OF,FA,25,,,,,,,,,,,,,,,
Alek Thomas,ARI,OF,FA,24,,,,,,,,,,,,,,,
Justyn-Henry Malloy,DET,OF,FA,25,,,,,,,,,,,,,,,
Elias Diaz,SD,C,FA,34,,,,,,,,,,,,,,,
James McCann,(N/A),C,FA,34,,,,,,,,,,,,,,,
Jorge Mateo,BAL,2B,FA,29,,,,,,,,,,,,,,,
Ronny Mauricio,NYM,2B,CASH,23,,,,,,,,,,,,,,,
Pavin Smith,ARI,OF,FA,29,,,,,,,,,,,,,,,
Dominic Canzone,SEA,OF,FA,27,,,,,,,,,,,,,,,
Joey Gallo,CHW,1B,FA,31,,,,,,,,,,,,,,,
Adam Duvall,(N/A),OF,FA,36,,,,,,,,,,,,,,,
Korey Lee,CHW,C,FA,26,,,,,,,,,,,,,,,
Brooks Baldwin,CHW,2B,FA,24,,,,,,,,,,,,,,,
Miguel Andujar,ATH,OF,FA,30,,,,,,,,,,,,,,,
Edmundo Sosa,PHI,"2B,3B,SS",FA,28,,,,,,,,,,,,,,,
Esteury Ruiz,ATH,OF,FA,26,,,,,,,,,,,,,,,
Ezequiel Duran,TEX,"3B,OF",FA,25,,,,,,,,,,,,,,,
Deyvison De Los Santos,MIA,"1B,3B",FA,21,,,,,,,,,,,,,,,
Jose Tena,WSH,3B,FA,23,,,,,,,,,,,,,,,
Kevin Newman,LAA,"2B,SS",FA,31,,,,,,,,,,,,,,,
Matt Mervis,MIA,UT,FA,26,,,,,,,,,,,,,,,
Bryan Ramos,CHW,3B,FA,22,,,,,,,,,,,,,,,
Victor Caratini,HOU,C,FA,31,,,,,,,,,,,,,,,
Tim Anderson,LAA,SS,FA,31,,,,,,,,,,,,,,,
David Fry,CLE,"C,1B,OF",FA,29,,,,,,,,,,,,,,,
Max Schuemann,ATH,"3B,SS",FA,27,,,,,,,,,,,,,,,
Pedro Pages,STL,C,FA,26,,,,,,,,,,,,,,,
Alex Call,WSH,OF,FA,30,,,,,,,,,,,,,,,
Endy Rodriguez,PIT,C,FA,24,,,,,,,,,,,,,,,
Jose Abreu,(N/A),1B,FA,38,,,,,,,,,,,,,,,
Jose Iglesias,SD,"2B,3B",FA,35,,,,,,,,,,,,,,,
Romy Gonzalez,BOS,"1B,2B,SS",FA,28,,,,,,,,,,,,,,,
Whit Merrifield,(N/A),"2B,OF",FA,36,,,,,,,,,,,,,,,
Sean Bouchard,COL,OF,FA,28,,,,,,,,,,,,,,,
Roman Anthony,BOS,OF,BLUE,20,,,,,,,,,,,,,,,
Darell Hernaiz,ATH,3B,FA,23,,,,,,,,,,,,,,,
